read_id	NM	numInDels	cumInDelsSize	IE
PLATINE:20:C0UR6ACXX:2:2302:21315:66107	4	0	0	4
PLATINE:20:C0UR6ACXX:2:1102:8323:55203	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2116:10679:11825	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2205:19168:95876	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2309:12584:21720	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2312:12541:89154	2	0	0	2
PLATINE:20:C0UR6ACXX:2:1107:15195:58165	1	0	0	1
PLATINE:20:C0UR6ACXX:2:1210:11760:34427	1	0	0	1
PLATINE:20:C0UR6ACXX:2:2108:16018:12620	1	0	0	1
PLATINE:20:C0UR6ACXX:2:2311:8203:14405	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2108:17831:66199	4	1	4	1
PLATINE:20:C0UR6ACXX:2:2205:16274:60598	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2216:19133:66571	2	1	2	1
PLATINE:20:C0UR6ACXX:2:1101:6716:12858	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1101:12937:32798	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1101:21223:45796	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1101:2866:53932	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1101:16779:83471	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1101:16653:84491	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1101:7112:87444	2	0	0	2
PLATINE:20:C0UR6ACXX:2:1103:17989:22918	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1103:1513:71996	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1103:17497:89553	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1103:9433:36474	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1109:19085:58376	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1212:3507:48235	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1214:11595:2805	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1301:12890:16900	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1303:1986:77539	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2103:4402:55644	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2110:4967:59004	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2207:11276:12964	1	0	0	1
PLATINE:20:C0UR6ACXX:2:2109:17276:22911	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2311:7008:87543	1	0	0	1
PLATINE:20:C0UR6ACXX:2:1313:6167:28640	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2316:12850:94583	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1313:6167:28640	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2316:12850:94583	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1105:5053:95100	2	1	2	1
PLATINE:20:C0UR6ACXX:2:2108:17831:66199	4	1	4	1
PLATINE:20:C0UR6ACXX:2:2205:16274:60598	1	1	1	1
PLATINE:20:C0UR6ACXX:2:1106:4866:10683	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1107:4964:51808	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1108:10788:11002	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1109:1364:41540	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1111:11798:19836	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1111:19804:57708	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1111:5763:78016	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1113:17827:14911	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1114:15514:46880	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2113:17879:2090	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1213:12069:77469	10	1	3	8
PLATINE:20:C0UR6ACXX:2:2116:5739:61018	7	1	5	3
PLATINE:20:C0UR6ACXX:2:1313:20326:39778	11	1	10	2
PLATINE:20:C0UR6ACXX:2:2207:17010:87274	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2302:16598:92843	2	1	1	2
PLATINE:20:C0UR6ACXX:2:2108:12482:44178	2	1	1	2
PLATINE:20:C0UR6ACXX:2:2115:12977:64164	2	1	1	2
PLATINE:20:C0UR6ACXX:2:2111:12009:90198	3	1	1	3
PLATINE:20:C0UR6ACXX:2:1206:9478:16648	13	2	11	4
PLATINE:20:C0UR6ACXX:2:2110:4602:100164	13	2	11	4
PLATINE:20:C0UR6ACXX:2:1116:14088:17583	11	3	9	5
PLATINE:20:C0UR6ACXX:2:2106:4894:99967	4	2	4	2
PLATINE:20:C0UR6ACXX:2:1301:6771:32642	2	1	1	2
PLATINE:20:C0UR6ACXX:2:1114:10596:67348	1	1	1	1
PLATINE:20:C0UR6ACXX:2:1113:9494:25499	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2201:3072:88453	4	1	1	4
PLATINE:20:C0UR6ACXX:2:1202:18161:62077	4	1	1	4
PLATINE:20:C0UR6ACXX:2:2302:14231:12884	4	1	1	4
PLATINE:20:C0UR6ACXX:2:1112:5665:14279	4	1	1	4
PLATINE:20:C0UR6ACXX:2:2311:19172:74051	4	1	1	4
PLATINE:20:C0UR6ACXX:2:1302:7527:25360	5	1	1	5
PLATINE:20:C0UR6ACXX:2:2112:13913:22579	4	1	1	4
PLATINE:20:C0UR6ACXX:2:2311:19172:74051	4	1	1	4
PLATINE:20:C0UR6ACXX:2:1102:2415:97927	4	1	1	4
PLATINE:20:C0UR6ACXX:2:1112:5665:14279	4	1	1	4
PLATINE:20:C0UR6ACXX:2:2201:3072:88453	4	1	1	4
PLATINE:20:C0UR6ACXX:2:2305:12878:49364	7	2	4	5
PLATINE:20:C0UR6ACXX:2:2302:14231:12884	4	1	1	4
PLATINE:20:C0UR6ACXX:2:1202:18161:62077	5	1	3	3
PLATINE:20:C0UR6ACXX:2:1204:3075:23609	4	1	3	2
PLATINE:20:C0UR6ACXX:2:2305:12878:49364	4	1	3	2
PLATINE:20:C0UR6ACXX:2:1204:3075:23609	5	1	1	5
PLATINE:20:C0UR6ACXX:2:1316:10045:25294	5	1	4	2
PLATINE:20:C0UR6ACXX:2:1316:17642:94691	6	2	3	5
PLATINE:20:C0UR6ACXX:2:1316:17642:94691	6	2	4	4
PLATINE:20:C0UR6ACXX:2:1111:4548:90915	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1311:14473:41819	2	0	0	2
PLATINE:20:C0UR6ACXX:2:1311:14473:41819	1	0	0	1
PLATINE:20:C0UR6ACXX:2:1204:8907:23862	6	0	0	6
PLATINE:20:C0UR6ACXX:2:1104:17915:11951	1	0	0	1
PLATINE:20:C0UR6ACXX:2:1216:2995:8304	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2202:11776:26992	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2202:11776:26992	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1216:2995:8304	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1104:17915:11951	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2316:10351:14149	1	0	0	1
PLATINE:20:C0UR6ACXX:2:1309:10268:24974	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2209:17192:56143	2	0	0	2
PLATINE:20:C0UR6ACXX:2:1205:16174:73008	3	0	0	3
PLATINE:20:C0UR6ACXX:2:1305:9132:76000	4	0	0	4
PLATINE:20:C0UR6ACXX:2:2209:17192:56143	3	0	0	3
PLATINE:20:C0UR6ACXX:2:1309:10268:24974	2	0	0	2
PLATINE:20:C0UR6ACXX:2:2316:10351:14149	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1315:15299:56391	3	0	0	3
PLATINE:20:C0UR6ACXX:2:1114:2197:78474	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1210:17359:52130	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1210:17359:52130	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2113:6539:96499	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2303:19040:76725	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2115:5397:43870	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2209:9287:69612	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2111:7010:56442	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1307:9031:94378	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2106:1496:72981	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2208:7499:19860	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2215:14141:22762	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2113:6539:96499	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2303:19040:76725	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1114:2197:78474	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1210:17359:52130	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1210:17359:52130	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2115:5397:43870	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2209:9287:69612	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2111:7010:56442	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1307:9031:94378	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2106:1496:72981	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2208:7499:19860	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2215:14141:22762	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2113:6539:96499	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2111:7010:56442	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1307:9031:94378	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2106:1496:72981	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2208:7499:19860	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2215:14141:22762	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1307:9031:94378	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2106:1496:72981	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2215:14141:22762	0	0	0	0
PLATINE:20:C0UR6ACXX:2:1307:9031:94378	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2106:1496:72981	0	0	0	0
PLATINE:20:C0UR6ACXX:2:2206:9899:88508	10	1	4	7
PLATINE:20:C0UR6ACXX:2:2107:2242:4884	5	1	4	2
PLATINE:20:C0UR6ACXX:2:2301:3038:100248	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2301:3038:100248	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2315:7456:10780	6	1	1	6
PLATINE:20:C0UR6ACXX:2:1201:3368:16959	3	1	1	3
PLATINE:20:C0UR6ACXX:2:1201:3368:16959	3	1	1	3
PLATINE:20:C0UR6ACXX:2:2301:3038:100248	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2315:7456:10780	6	2	3	5
PLATINE:20:C0UR6ACXX:2:2315:7456:10780	6	2	3	5
PLATINE:20:C0UR6ACXX:2:1201:3368:16959	3	1	1	3
PLATINE:20:C0UR6ACXX:2:2112:13200:57933	1	1	1	1
PLATINE:20:C0UR6ACXX:2:1113:2251:82691	10	2	5	7
PLATINE:20:C0UR6ACXX:2:2101:11799:49050	8	2	5	5
PLATINE:20:C0UR6ACXX:2:2315:16399:74415	6	1	3	4
PLATINE:20:C0UR6ACXX:2:1213:3324:23319	5	1	1	5
PLATINE:20:C0UR6ACXX:2:1115:14247:87806	11	1	6	6
PLATINE:20:C0UR6ACXX:2:1209:20786:34496	11	1	6	6
PLATINE:20:C0UR6ACXX:2:1304:6605:36799	11	1	6	6
PLATINE:20:C0UR6ACXX:2:2212:17335:87927	11	1	6	6
PLATINE:20:C0UR6ACXX:2:2204:8488:83543	12	1	6	7
PLATINE:20:C0UR6ACXX:2:2313:13609:89667	11	1	6	6
PLATINE:20:C0UR6ACXX:2:1105:19982:12926	10	1	6	5
PLATINE:20:C0UR6ACXX:2:2215:18885:37690	10	1	6	5
PLATINE:20:C0UR6ACXX:2:1110:8007:93962	10	1	6	5
PLATINE:20:C0UR6ACXX:2:1201:11463:81271	8	1	3	6
PLATINE:20:C0UR6ACXX:2:1204:11283:54697	3	2	2	3
PLATINE:20:C0UR6ACXX:2:2309:13381:31879	2	1	2	1
PLATINE:20:C0UR6ACXX:2:2309:13381:31879	2	1	2	1
PLATINE:20:C0UR6ACXX:2:1313:21216:15023	12	1	12	1
PLATINE:20:C0UR6ACXX:2:2215:5970:75105	3	1	1	3
PLATINE:20:C0UR6ACXX:2:2215:5970:75105	1	1	1	1
PLATINE:20:C0UR6ACXX:2:1313:21216:15023	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2216:14559:28671	1	1	1	1
PLATINE:20:C0UR6ACXX:2:2312:3136:79688	1	1	1	1
PLATINE:20:C0UR6ACXX:2:1112:19486:33154	7	1	2	6
PLATINE:20:C0UR6ACXX:2:1313:19319:77400	7	1	2	6
PLATINE:20:C0UR6ACXX:2:1208:5085:9995	6	1	2	5
PLATINE:20:C0UR6ACXX:2:2101:16577:49340	5	1	2	4
PLATINE:20:C0UR6ACXX:2:1208:5085:9995	6	1	2	5
